Designator,Mid X,Mid Y,Rotation,Layer
SW301,9.0,33.0,90.0,top
SW302,-9.0,33.0,270.0,top
SW401,12.0,-30.0,270.0,top
SW402,-12.0,-30.0,90.0,top
U201,-21.7475,-36.63,0.0,top
U202,21.7475,-36.63,180.0,top
U301,0.0,54.0,0.0,top
U302,0.0,43.0,270.0,top
U303,0.0,32.31,180.0,top
U304,-11.86,-46.68,180.0,top
U401,11.86,-46.68,0.0,top
U402,0.1025,-38.25,0.0,top
U403,0.0,-53.5,90.0,top
U404,0.0,-27.26,0.0,top
U501,15.0,15.0,270.0,top
U502,42.0,-15.0,0.0,top
U503,42.0,15.0,270.0,top
U601,15.0,-15.0,90.0,top
U602,-15.0,-15.0,90.0,top
U701,-42.0,15.0,180.0,top
U702,-42.0,-15.0,90.0,top
Y301,8.64,42.7,270.0,top
Y401,-2.49,-45.77,0.0,top
